代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1524,耿鼎,113,Y1,不適用,113/01/01~113/12/31,董事會決議,2.3,0.0,0.0,380213913,0.0,0.0,0.0,0
1525,江申,113,Y1,114/05/26,113/01/01~113/12/31,股東會確認,3.1,0.0,0.0,227540419,0.0,0.0,0.0,0
1526,日馳,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1526,日馳,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1527,鑽全,113,Y1,114/06/18,113/01/01~113/12/31,股東會確認,2.2,0.0,0.0,304855408,0.0,0.0,0.0,0
1528,恩德,113,Y1,114/05/26,113/01/01~113/12/31,股東會確認,0.0,0.0,0.1,19133100,0.0,0.0,0.0,0
1529,樂事綠能,113,Y1,114/05/23,113/01/01~113/12/31,股東會確認,0.05,0.0,0.15,31019014,0.0,0.0,0.0,0
1530,亞崴,113,Y1,114/05/27,113/01/01~113/12/31,股東會確認,1.5,0.0,0.0,144891257,0.0,0.0,0.0,0
1531,高林股,113,Y1,114/06/26,113/01/01~113/12/31,股東會確認,0.4,0.0,0.0,72843232,0.0,0.0,0.0,0
1532,勤美,113,Y1,不適用,113/01/01~113/12/31,董事會決議,1.73372654,0.0,0.0,729361890,0.0,0.0,0.0,0
1533,車王電,113,Y1,114/06/17,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1535,中宇,113,Y1,114/06/25,113/01/01~113/12/31,股東會確認,3.0,0.0,0.0,371227656,0.0,0.0,0.0,0
1536,和大,113,H2,不適用,113/07/01~113/12/31,董事會決議,0.8,0.0,0.0,223614010,0.0,0.0,0.0,0
1536,和大,113,H1,不適用,113/01/01~113/06/30,董事會決議,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1537,廣隆,113,Y1,114/06/19,113/01/01~113/12/31,股東會確認,10.5,0.0,0.0,861659337,0.0,0.0,0.0,0
1538,正峰,113,Y1,114/06/25,113/01/01~113/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1539,巨庭,113,Y1,114/06/17,113/01/01~113/12/31,股東會確認,0.85,0.0,0.0,55564500,0.0,0.0,0.0,0
1540,喬福,113,Y1,114/06/27,113/01/01~113/12/31,股東會確認,1.6,0.0,0.0,136757779,0.0,0.0,0.0,0
1541,錩泰,113,Y1,不適用,113/01/01~113/12/31,董事會決議,0.5,0.0,0.0,39400000,0.0,0.0,0.0,0
1558,伸興,113,Y1,114/06/13,113/01/01~113/12/31,股東會確認,6.0,0.0,0.0,399213786,0.0,0.0,0.0,0
1560,中砂,113,Y1,不適用,113/01/01~113/12/31,董事會決議,2.7,0.0,1.3,584175736,0.0,0.0,0.0,0
