stock_code,stock_name,price,market,date,updated_at
03007T,台灣50元大5B售05,0.3,TSE,2026-07-24,2026-07-25 19:05:03
03007X,元展07,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030088,玉晶光統一59購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03008T,臺股指元大5A售29,0.45,TSE,2026-07-24,2026-07-25 19:05:03
030090,達興統一59購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030091,瀚宇博統一57購03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030092,訊芯統一59購01,5.05,TSE,2026-07-24,2026-07-25 19:05:03
030094,南電統一57購06,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030095,南電統一59購02,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03009T,聯發科凱基64售03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030109,AES元富57購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03010T,台化凱基5A售05,0.14,TSE,2026-07-24,2026-07-25 19:05:03
03011T,台積電凱基67售14,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030129,欣興國票59購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03012T,聯發科凱基63售01,0.15,TSE,2026-07-24,2026-07-25 19:05:03
03012X,元展12,66.0,TSE,2026-07-24,2026-07-25 19:05:03
030135,飛捷國票59購01,0.56,TSE,2026-07-24,2026-07-25 19:05:03
03013T,大立光凱基5A售06,0.1,TSE,2026-07-24,2026-07-25 19:05:03
03013X,元展13,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03014T,臺股指凱基5A售47,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03015T,臺股指凱基5C售16,0.4,TSE,2026-07-24,2026-07-25 19:05:03
03015X,元展15,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03016T,臺股指凱基5C售17,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030174,鴻海凱基63購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03017T,毅嘉國票5A售03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03019T,台灣50台新5A售03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03019X,元展19,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03020T,台灣50台新5A售04,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03021T,華泰台新5A售01,1.66,TSE,2026-07-24,2026-07-25 19:05:03
03022T,大立光台新5A售03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030239,南亞統一58購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03023T,眾達群益5A售03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030240,南亞統一5A購01,6.65,TSE,2026-07-24,2026-07-25 19:05:03
030241,南亞統一62購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030242,台化統一5A購01,3.4,TSE,2026-07-24,2026-07-25 19:05:03
030243,台化統一62購01,2.61,TSE,2026-07-24,2026-07-25 19:05:03
030245,台玻統一5A購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030246,宇隆統一5A購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030248,TPK統一58購01,2.16,TSE,2026-07-24,2026-07-25 19:05:03
03024T,臺股指群益65售04,1.16,TSE,2026-07-24,2026-07-25 19:05:03
030250,同欣電統一5B購01,1.82,TSE,2026-07-24,2026-07-25 19:05:03
030251,AES統一5C購01,0.06,TSE,2026-07-24,2026-07-25 19:05:03
030256,國喬元富58購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03025T,T50正2國票5A售05,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030264,國巨元富58購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03026T,滬深2X國票5B售01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03026X,元展23,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030276,同欣電元富58購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03027T,華邦電國票5B售02,0.09,TSE,2026-07-24,2026-07-25 19:05:03
03027X,元展24,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03028T,南亞科國票5B售02,0.06,TSE,2026-07-24,2026-07-25 19:05:03
03029T,臺股指國票5A售07,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03029U,臺股指群益58售02,0.01,TSE,2026-07-24,2026-07-25 19:05:03
03029X,元展26,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03031T,台灣50台新5A售06,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03032T,國巨台新5A售05,0.08,TSE,2026-07-24,2026-07-25 19:05:03
03033T,S&P正2凱基5B售01,0.47,TSE,2026-07-24,2026-07-25 19:05:03
030349,滬深2X元大58購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03034T,美費半凱基5A售02,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030350,滬深2X元大5A購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03035T,台積電凱基5A售11,0.4,TSE,2026-07-24,2026-07-25 19:05:03
03035X,元展32,13.2,TSE,2026-07-24,2026-07-25 19:05:03
03036T,華邦電凱基5A售03,0.13,TSE,2026-07-24,2026-07-25 19:05:03
03037T,南亞科凱基5A售03,0.09,TSE,2026-07-24,2026-07-25 19:05:03
03038T,群創凱基5A售04,0.16,TSE,2026-07-24,2026-07-25 19:05:03
03039T,臺股指凱基65售03,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03040T,力積電元大5A售07,0.0,TSE,2026-07-24,2026-07-25 19:05:03
030412,台灣50永豐58購01,34.7,TSE,2026-07-24,2026-07-25 19:05:03
030413,元金2X永豐58購01,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03041T,聯發科永豐5A售06,0.0,TSE,2026-07-24,2026-07-25 19:05:03
03042T,群創元大5A售04,0.1,TSE,2026-07-24,2026-07-25 19:05:03
03043T,臺股指元大5A售30,0.76,TSE,2026-07-24,2026-07-25 19:05:03
03044T,T50正2凱基5A售08,0.42,TSE,2026-07-24,2026-07-25 19:05:03
03045T,鴻海凱基5C售07,0.0,TSE,2026-07-24,2026-07-25 19:05:03
