代號,名稱,年度,季別,營業活動之淨現金流入（流出）
8085,福華,109,Q4,-59693.00
8085,福華,109,Q3,-41177.00
8085,福華,109,Q2,-25126.00
8086,宏捷科,109,Q4,863191.00
8086,宏捷科,109,Q3,431639.00
8086,宏捷科,109,Q2,201699.00
8086,宏捷科,109,Q1,97116.00
8087,麗升能源,109,Q1,18172.00
8087,麗升能源,109,Q4,15085.00
8087,麗升能源,109,Q3,14765.00
8087,麗升能源,109,Q2,20035.00
8088,品安,109,Q4,187010.00
8088,品安,109,Q3,141700.00
8088,品安,109,Q1,90515.00
8088,品安,109,Q2,85647.00
8089,康全電訊,109,Q4,425365.00
8089,康全電訊,109,Q3,356035.00
8089,康全電訊,109,Q2,217007.00
8089,康全電訊,109,Q1,44195.00
8091,翔名,109,Q1,94916.00
8091,翔名,109,Q4,285827.00
8091,翔名,109,Q2,165126.00
8091,翔名,109,Q3,222231.00
8092,建暐,109,Q4,17314.00
8092,建暐,109,Q1,-9770.00
8092,建暐,109,Q2,-13603.00
8092,建暐,109,Q3,19370.00
8093,保銳,109,Q4,40289.00
8093,保銳,109,Q3,54603.00
8093,保銳,109,Q1,18840.00
8093,保銳,109,Q2,51545.00
8096,擎亞,109,Q4,-96943.00
8096,擎亞,109,Q3,-589284.00
8096,擎亞,109,Q2,-293578.00
8096,擎亞,109,Q1,-1118331.00
8097,常珵,109,Q4,17808.00
8097,常珵,109,Q1,10668.00
8097,常珵,109,Q2,11668.00
8097,常珵,109,Q3,5159.00
8099,大世科,109,Q3,-79453.00
8099,大世科,109,Q2,-127294.00
8099,大世科,109,Q4,99625.00
8099,大世科,109,Q1,-49279.00
8101,華冠,109,Q3,-131855.00
8101,華冠,109,Q1,157883.00
8101,華冠,109,Q2,47656.00
8101,華冠,109,Q4,-465661.00
8103,瀚荃,109,Q2,195608.00
8103,瀚荃,109,Q4,310367.00
8103,瀚荃,109,Q1,56122.00
8103,瀚荃,109,Q3,246821.00
8104,錸寶,109,Q4,370441.00
8104,錸寶,109,Q1,1016.00
8104,錸寶,109,Q3,130374.00
8104,錸寶,109,Q2,156498.00
8105,凌巨,109,Q1,-5301.00
8105,凌巨,109,Q2,-382471.00
8105,凌巨,109,Q3,-244029.00
8105,凌巨,109,Q4,144359.00
8107,大億金茂,109,Q3,21085.00
8107,大億金茂,109,Q1,-2710.00
8107,大億金茂,109,Q2,18654.00
