代號,名稱,年度,季別,股東會日期,股利所屬期間,決議（擬議）進度,股東配發-盈餘分配之現金股利(元/股),股東配發-法定盈餘公積發放之現金(元/股),股東配發-資本公積發放之現金(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股),股東配發-法定盈餘公積轉增資配股(元/股),股東配發-資本公積轉增資配股(元/股),股東配發-股東配股總股數(股)
1414,東和,109,Y1,110/06/11,109/01/01~109/12/31,股東會確認,0.246,0.0,0.0,54120000,0.0,0.0,0.0,0
1416,廣豐,109,Y1,110/06/29,109/01/01~109/12/31,股東會確認,0.5,0.0,0.0,92671084,0.0,0.0,0.0,0
1416,廣豐,109,Y1,110/06/29,109/01/01~109/12/31,股東會確認,0.5,0.0,0.0,92671084,0.0,0.0,0.0,0
1416,廣豐,109,Y1,110/06/29,109/01/01~109/12/31,股東會確認,0.5,0.0,0.0,92671084,0.0,0.0,0.0,0
1417,嘉裕,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,0.3,0.0,0.0,56982552,0.0,0.0,0.0,0
1417,嘉裕,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,0.3,0.0,0.0,56982552,0.0,0.0,0.0,0
1417,嘉裕,109,Y1,110/06/18,109/01/01~109/12/31,股東會確認,0.3,0.0,0.0,56982552,0.0,0.0,0.0,0
1418,東華,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1418,東華,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1418,東華,109,Y1,110/06/23,109/01/01~109/12/31,股東會確認,0.0,0.0,0.0,0,0.0,0.0,0.0,0
1419,新紡,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.0,0.0,0.0,300041280,0.0,0.0,0.0,0
1419,新紡,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.0,0.0,0.0,300041280,0.0,0.0,0.0,0
1419,新紡,109,Y1,不適用,109/01/01~109/12/31,董事會決議,1.0,0.0,0.0,300041280,0.0,0.0,0.0,0
