出表日期,年度,季別,公司代號,公司名稱,流動資產,非流動資產,資產總計,流動負債,非流動負債,負債總計,股本,資本公積,保留盈餘,其他權益,庫藏股票,歸屬於母公司業主之權益合計,共同控制下前手權益,合併前非屬共同控制股權,非控制權益,權益總計,待註銷股本股數（單位：股）,預收股款（權益項下）之約當發行股數（單位：股）,母公司暨子公司所持有之母公司庫藏股股數（單位：股）,每股參考淨值
"114/10/29","107","2","1468","昶和","1390809.00","1136146.00","2526955.00","951999.00","530421.00","1482420.00","1604053.00","26753.00","-683107.00","65347.00","--","1013046.00","--","--","31489.00","1044535.00","--","0.00","0.00","6.32"
"114/10/29","107","2","1470","大統新創","688895.00","456188.00","1145083.00","227546.00","6493.00","234039.00","857670.00","6918.00","76909.00","-30453.00","--","911044.00","--","--","--","911044.00","--","0.00","0.00","10.62"
"114/10/29","107","2","1471","首利","826434.00","991155.00","1817589.00","634036.00","6726.00","640762.00","1504145.00","3763.00","-420075.00","84345.00","--","1172178.00","--","--","4649.00","1176827.00","0.00","0.00","0.00","7.79"
"114/10/29","107","2","1472","三洋實業","290406.00","552906.00","843312.00","484160.00","34687.00","518847.00","426727.00","0.00","-82364.00","-19807.00","-91.00","324465.00","--","--","--","324465.00","--","0.00","1787.00","7.60"
"114/10/29","107","2","1473","台南","4189290.00","2611201.00","6800491.00","2829137.00","215735.00","3044872.00","1471535.00","880358.00","1372059.00","-25612.00","-31471.00","3666869.00","--","--","88750.00","3755619.00","--","0.00","1344000.00","25.15"
"114/10/29","107","2","1474","弘裕","2491757.00","1445596.00","3937353.00","1892652.00","162656.00","2055308.00","1298970.00","5887.00","592686.00","-24464.00","--","1873079.00","--","--","8966.00","1882045.00","0.00","0.00","0.00","14.42"
"114/10/29","107","2","1475","業旺","101311.00","27417.00","128728.00","76223.00","2697.00","78920.00","160168.00","188125.00","-272071.00","3085.00","--","79307.00","--","--","-29499.00","49808.00","0.00","0.00","0.00","4.95"
"114/10/29","107","2","1476","儒鴻","11471666.00","10629093.00","22100759.00","7441323.00","6763.00","7448086.00","2743671.00","3769437.00","8157475.00","-17910.00","--","14652673.00","--","--","0.00","14652673.00","0.00","0.00","0.00","53.41"
"114/10/29","107","2","1477","聚陽","8344403.00","5348929.00","13693332.00","5566408.00","257259.00","5823667.00","2093872.00","3356329.00","2360980.00","-43368.00","--","7767813.00","--","--","101852.00","7869665.00","0.00","0.00","0.00","37.10"
"114/10/29","107","2","1503","士電","15845710.00","23355443.00","39201153.00","12564670.00","3612322.00","16176992.00","5209722.00","2618542.00","14490323.00","264207.00","--","22582794.00","--","--","441367.00","23024161.00","--","0.00","0.00","43.35"
"114/10/29","107","2","1504","東元","46028421.00","46819769.00","92848190.00","20150146.00","15879876.00","36030022.00","20026929.00","7628698.00","24428930.00","250987.00","-321563.00","52013981.00","--","--","4804187.00","56818168.00","0.00","0.00","22443022.00","26.27"
"114/10/29","107","2","1506","正道","1313858.00","1459114.00","2772972.00","898105.00","557731.00","1455836.00","1225043.00","128719.00","-44663.00","-83650.00","--","1225449.00","--","--","91687.00","1317136.00","--","0.00","0.00","10.00"
"114/10/29","107","2","1512","瑞利","1805098.00","1864671.00","3669769.00","1635681.00","1086003.00","2721684.00","2200025.00","716.00","-1144972.00","-107684.00","--","948085.00","--","--","0.00","948085.00","--","0.00","0.00","4.31"
"114/10/29","107","2","1513","中興電","11167154.00","6775174.00","17942328.00","9048428.00","1459456.00","10507884.00","4200000.00","418796.00","2583911.00","80584.00","-116880.00","7166411.00","--","--","268033.00","7434444.00","0.00","0.00","9038676.00","17.44"
"114/10/29","107","2","1514","亞力","3535800.00","1826426.00","5362226.00","2269469.00","301060.00","2570529.00","2010670.00","62480.00","665321.00","35285.00","-41616.00","2732140.00","--","--","59557.00","2791697.00","0.00","0.00","2362712.00","13.75"
"114/10/29","107","2","1515","力山","3005837.00","2631844.00","5637681.00","2867458.00","388020.00","3255478.00","1814735.00","433.00","496894.00","48954.00","--","2361016.00","--","--","21187.00","2382203.00","0.00","0.00","0.00","13.01"
"114/10/29","107","2","1516","川飛","583147.00","72004.00","655151.00","293261.00","20.00","293281.00","318937.00","20185.00","28770.00","-6022.00","0.00","--","--","--","--","361870.00","0.00","0.00","0.00","11.91"
"114/10/29","107","2","1517","利奇","2950467.00","1867158.00","4817625.00","856429.00","549429.00","1405858.00","2278250.00","60505.00","1021263.00","-48219.00","--","3311799.00","--","--","99968.00","3411767.00","--","0.00","0.00","14.54"
"114/10/29","107","2","1519","華城","5072061.00","1822246.00","6894307.00","2978538.00","1039281.00","4017819.00","2610585.00","1179.00","293995.00","-29205.00","--","2876554.00","--","--","-66.00","2876488.00","--","0.00","0.00","11.02"
"114/10/29","107","2","1521","大億","2473007.00","1469352.00","3942359.00","1940196.00","257008.00","2197204.00","762300.00","60605.00","941277.00","-19027.00","--","1745155.00","--","--","--","1745155.00","--","0.00","0.00","22.89"
"114/10/29","107","2","1522","堤維西","8696999.00","12585386.00","21282385.00","6883142.00","7865065.00","14748207.00","3128979.00","1377231.00","1926973.00","-103208.00","-5996.00","6323979.00","--","--","210199.00","6534178.00","--","0.00","939707.00","20.27"
