出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","111","3","1905","華紙","652777.00","-355661.00","268171.00","48061.00","613348.00","536128.00","1149476.00"
"114/10/29","111","3","1906","寶隆","277039.00","-278389.00","58725.00","--","57375.00","17704.00","75079.00"
"114/10/29","111","3","1907","永豐餘","7290181.00","-2837021.00","-1999944.00","432682.00","2885898.00","6534090.00","9419988.00"
"114/10/29","111","3","1909","榮成","971717.00","-2847649.00","3316155.00","-463000.00","977223.00","1514365.00","2491588.00"
"114/10/29","111","3","2002","中鋼","6525294.00","-19497237.00","20396640.00","3896274.00","11320971.00","18970605.00","30291576.00"
"114/10/29","111","3","2006","東和鋼鐵","3474230.00","-2789550.00","-780979.00","363841.00","267542.00","1530394.00","1797936.00"
"114/10/29","111","3","2007","燁興","604906.00","-199383.00","-150954.00","--","254569.00","251318.00","505887.00"
"114/10/29","111","3","2008","高興昌","-55415.00","-445203.00","103495.00","--","-397123.00","559241.00","162118.00"
"114/10/29","111","3","2009","第一銅","-173901.00","-26020.00","158002.00","--","-41919.00","153821.00","111902.00"
"114/10/29","111","3","2010","春源","1598874.00","17440.00","-1445411.00","16495.00","187398.00","656017.00","843415.00"
"114/10/29","111","3","2012","春雨","633782.00","-106705.00","51592.00","116980.00","695649.00","1026237.00","1721886.00"
"114/10/29","111","3","2013","中鋼構","-1293260.00","-267934.00","1698451.00","5292.00","142549.00","430519.00","573068.00"
"114/10/29","111","3","2014","中鴻","-1887517.00","-391092.00","5309411.00","--","3030802.00","508123.00","3538925.00"
"114/10/29","111","3","2015","豐興","2488131.00","-626751.00","-2034857.00","--","-173477.00","1221496.00","1048019.00"
"114/10/29","111","3","2017","官田鋼","731514.00","-349856.00","-216245.00","--","165413.00","237664.00","403077.00"
"114/10/29","111","3","2020","美亞","820197.00","-205735.00","-737572.00","13253.00","-109857.00","539679.00","429822.00"
