出表日期,年度,季別,公司代號,公司名稱,營業活動之淨現金流入（流出）,投資活動之淨現金流入（流出）,籌資活動之淨現金流入（流出）,匯率變動對現金及約當現金之影響,本期現金及約當現金增加（減少）數,期初現金及約當現金餘額,期末現金及約當現金餘額
"114/10/29","108","1","1605","華新","240836.00","-438140.00","1449859.00","628725.00","1881280.00","9406154.00","11287434.00"
"114/10/29","108","1","1608","華榮","-229311.00","4866.00","-234468.00","--","-458913.00","668021.00","209108.00"
"114/10/29","108","1","1609","大亞","245228.00","-285601.00","-34861.00","15974.00","-59260.00","2867959.00","2808699.00"
"114/10/29","108","1","1611","中電","-36800.00","691088.00","-5001.00","-10316.00","638971.00","425629.00","1064600.00"
"114/10/29","108","1","1612","宏泰","-22819.00","-396.00","-10510.00","152.00","-33573.00","448829.00","415256.00"
"114/10/29","108","1","1614","三洋電","49518.00","-223381.00","184178.00","--","10315.00","48748.00","59063.00"
"114/10/29","108","1","1615","大山","56682.00","-24713.00","-67584.00","--","-35615.00","82396.00","46781.00"
"114/10/29","108","1","1616","億泰","49458.00","11947.00","-103644.00","930.00","-41309.00","165282.00","123973.00"
"114/10/29","108","1","1617","榮星","172810.00","185210.00","-174705.00","5375.00","188690.00","477203.00","665893.00"
"114/10/29","108","1","1618","合機","-44139.00","-34507.00","-2219.00","14.00","-80851.00","1007355.00","926504.00"
"114/10/29","108","1","1626","艾美特-KY","144526.00","-116036.00","-214643.00","60249.00","-125904.00","417768.00","291864.00"
"114/10/29","108","1","1702","南僑","529894.00","-76314.00","46095.00","23405.00","523080.00","4708562.00","5231642.00"
"114/10/29","108","1","1707","葡萄王","136079.00","-329052.00","133539.00","9109.00","-50325.00","2050224.00","1999899.00"
"114/10/29","108","1","1708","東鹼","-72418.00","-1046235.00","868008.00","-1022.00","-251667.00","1117846.00","866179.00"
"114/10/29","108","1","1709","和益","46163.00","-56286.00","5905.00","40.00","-4178.00","256722.00","252544.00"
"114/10/29","108","1","1710","東聯","-545160.00","-75310.00","927211.00","28991.00","335732.00","1910500.00","2246232.00"
"114/10/29","108","1","1711","永光","237643.00","-120112.00","-38029.00","-2325.00","77177.00","838593.00","915770.00"
"114/10/29","108","1","1712","興農","-247982.00","-84627.00","166818.00","-13561.00","-179352.00","1266232.00","1086880.00"
"114/10/29","108","1","1713","國化","20964.00","-365.00","--","--","20599.00","611504.00","632103.00"
"114/10/29","108","1","1714","和桐","-125471.00","-50254.00","28095.00","-3462.00","-151092.00","3197528.00","3046436.00"
"114/10/29","108","1","1717","長興","984350.00","-296960.00","-749584.00","358780.00","296586.00","6085433.00","6382019.00"
"114/10/29","108","1","1720","生達","155292.00","-175253.00","-4012.00","-1629.00","-25602.00","1254061.00","1228459.00"
"114/10/29","108","1","1721","三晃","-13085.00","-80078.00","-52993.00","40.00","-146116.00","608045.00","461929.00"
"114/10/29","108","1","1722","台肥","1205019.00","-2079876.00","-27779.00","4283.00","-898353.00","3441058.00","2542705.00"
"114/10/29","108","1","1723","中碳","635589.00","-412856.00","-101766.00","3514.00","124481.00","1277256.00","1401737.00"
"114/10/29","108","1","1725","元禎","126218.00","1957.00","-230005.00","10475.00","-91355.00","845633.00","754278.00"
"114/10/29","108","1","1726","永記","160473.00","-523156.00","-9566.00","43684.00","-328565.00","2163103.00","1834538.00"
"114/10/29","108","1","1727","中華化","84128.00","-72864.00","-47993.00","336.00","-36393.00","78353.00","41960.00"
"114/10/29","108","1","1730","花仙子","202000.00","39026.00","-181160.00","7578.00","67444.00","322511.00","389955.00"
"114/10/29","108","1","1731","美吾華","-31316.00","-41431.00","-2656.00","866.00","-74537.00","162590.00","88053.00"
