出表日期,年度,季別,公司代號,公司名稱,營業收入,營業成本,原始認列生物資產及農產品之利益（損失）,生物資產當期公允價值減出售成本之變動利益（損失）,營業毛利（毛損）,未實現銷貨（損）益,已實現銷貨（損）益,營業毛利（毛損）淨額,營業費用,其他收益及費損淨額,營業利益（損失）,營業外收入及支出,稅前淨利（淨損）,所得稅費用（利益）,繼續營業單位本期淨利（淨損）,停業單位損益,合併前非屬共同控制股權損益,本期淨利（淨損）,其他綜合損益（淨額）,合併前非屬共同控制股權綜合損益淨額,本期綜合損益總額,淨利（淨損）歸屬於母公司業主,淨利（淨損）歸屬於共同控制下前手權益,淨利（淨損）歸屬於非控制權益,綜合損益總額歸屬於母公司業主,綜合損益總額歸屬於共同控制下前手權益,綜合損益總額歸屬於非控制權益,基本每股盈餘（元）,收入,支出,繼續營業單位稅前淨利（淨損）,其他綜合損益,利息淨收益,利息以外淨收益,淨收益,呆帳費用、承諾及保證責任準備提存,保險負債準備淨變動,繼續營業單位稅前損益,所得稅（費用）利益,本期稅後淨利（淨損）,本期其他綜合損益（稅後淨額）,收益,支出及費用,營業利益,營業外損益,淨利（損）歸屬於母公司業主,淨利（損）歸屬於非控制權益,繼續營業單位稅前純益（純損）,繼續營業單位本期純益（純損）,其他綜合損益（稅後淨額）,利息以外淨損益,繼續營業單位本期稅後淨利（淨損）,其他綜合損益（稅後）,本期綜合損益總額（稅後）,淨利（損）歸屬於共同控制下前手權益
114/10/28,112,3,9958,世紀鋼,9539392.00,8275189.00,--,--,1264203.00,--,--,1264203.00,346335.00,--,917868.00,-107709.00,810159.00,166563.00,643596.00,--,--,643596.00,13066.00,--,656662.00,590396.00,--,53200.00,597465.00,--,59197.00,2.52,,,,,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,2,2855,統一證,,,,,,,,,,,,,1813275.00,180402.00,1632873.00,--,--,1632873.00,,--,1630257.00,,--,,1624125.00,--,6132.00,1.12,,,,,,,,,,,,,-2616.00,4729942.00,3332326.00,1397616.00,415659.00,1628023.00,4850.00,,,,,,,,
114/10/28,112,2,6005,群益證,,,,,,,,,,,,,2513785.00,101336.00,2412449.00,--,--,2412449.00,,--,3117496.00,,--,,2896484.00,--,221012.00,1.01,,,,,,,,,,,,,705047.00,5590569.00,4322695.00,1267874.00,1245911.00,2198796.00,213653.00,,,,,,,,
114/10/28,112,2,6024,群益期,,,,,,,,,,,,,619479.00,128136.00,491343.00,--,--,491343.00,,--,508385.00,,--,,507906.00,--,479.00,2.33,,,,,,,,,,,,,17042.00,923071.00,1001280.00,-78209.00,697688.00,490792.00,551.00,,,,,,,,
114/10/28,112,2,1409,新纖,,,,,,,,,,,,,,318049.00,487197.00,--,,487197.00,,,1723486.00,240890.00,--,246307.00,1461364.00,--,262122.00,0.15,18790676.00,17985430.00,805246.00,1236289.00,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,2,1718,中纖,,,,,,,,,,,,,,602960.00,1675089.00,--,,1675089.00,,,2692406.00,-682885.00,--,2357974.00,-361674.00,--,3054080.00,-0.51,18990680.00,16712631.00,2278049.00,1017317.00,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,2,2207,和泰車,,,,,,,,,,,,,,1637630.00,13867508.00,--,,13867508.00,,,15353644.00,12110379.00,--,1757129.00,13743542.00,--,1610102.00,21.74,139532512.00,124027374.00,15505138.00,1486136.00,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,2,2905,三商,,,,,,,,,,,,,,-1727631.00,-3997785.00,--,,-3997785.00,,,7688204.00,-1202520.00,--,-2795265.00,3422527.00,--,4265677.00,-1.38,89715943.00,95441359.00,-5725416.00,11685989.00,,,,,,,,,,,,,,,,,,,,,,,
114/10/28,112,1,2801,彰銀,,,,,,,,,4645451.00,,,,,780022.00,,--,--,,,--,,,,,5788393.00,--,--,0.33,,,4231955.00,,5631730.00,,,903664.00,,,,3451933.00,,,,,,3451933.00,--,,,,4149340.00,3451933.00,2336460.00,5788393.00,--
114/10/28,112,1,2812,台中銀,,,,,,,,,1942046.00,,,,,295577.00,,--,--,,,--,,,,,2093897.00,--,--,0.29,,,1768897.00,,2757027.00,,,438443.00,,,,1473320.00,,,,,,1473320.00,--,,,,1392359.00,1473320.00,620577.00,2093897.00,--
