公司代號名稱,股東會日期,股利所屬年(季)度,股東配發-盈餘分配之現金股利(元/股),股東配發-股東配發之現金(股利)總金額(元),股東配發-盈餘轉增資配股(元/股)
8463 - 潤泰材,109/05/21,108年 年度,0.49000000,"         73,500,000",0.0
8463 - 潤泰材,109/05/21,108年 年度,0.49000000,"         73,500,000",0.0
8463 - 潤泰材,109/05/21,108年 年度,0.49000000,"         73,500,000",0.0
8464 - 億豐,109/06/16,108年 年度,10.00000000,"      2,930,202,000",0.0
8464 - 億豐,109/06/16,108年 年度,10.00000000,"      2,930,202,000",0.0
8464 - 億豐,109/06/16,108年 年度,10.00000000,"      2,930,202,000",0.0
8464 - 億豐,109/06/16,108年 年度,10.00000000,"      2,930,202,000",0.0
8466 - 美吉吉-KY,109/06/09,108年 年度,4.10000000,"        270,841,900",0.0
8466 - 美吉吉-KY,109/06/09,108年 年度,4.10000000,"        270,841,900",0.0
8466 - 美吉吉-KY,109/06/09,108年 年度,4.10000000,"        270,841,900",0.0
8466 - 美吉吉-KY,109/06/09,108年 年度,4.10000000,"        270,841,900",0.0
8467 - 波力-KY,不適用,108年 第3季,0.0,                  0,0.0
8467 - 波力-KY,109/05/28,108年 第4季,1.00000000,"         99,068,000",0.0
8467 - 波力-KY,不適用,108年 第3季,0.0,                  0,0.0
8467 - 波力-KY,不適用,108年 第3季,0.0,                  0,0.0
8467 - 波力-KY,不適用,108年 第3季,0.0,                  0,0.0
8467 - 波力-KY,不適用,108年 第2季,0.0,                  0,0.0
8467 - 波力-KY,109/05/28,108年 第4季,1.00000000,"         99,068,000",0.0
8467 - 波力-KY,不適用,108年 第2季,0.0,                  0,0.0
8467 - 波力-KY,不適用,108年 第2季,0.0,                  0,0.0
8467 - 波力-KY,109/05/28,108年 第4季,1.00000000,"         99,068,000",0.0
8467 - 波力-KY,109/05/28,108年 第4季,1.00000000,"         99,068,000",0.0
8467 - 波力-KY,不適用,108年 第2季,0.0,                  0,0.0
8472 - 夠麻吉,109/05/13,108年 年度,1.73000000,"         31,726,124",0.0
8472 - 夠麻吉,109/05/13,108年 年度,1.73000000,"         31,726,124",0.0
8472 - 夠麻吉,109/05/13,108年 年度,1.73000000,"         31,726,124",0.0
8472 - 夠麻吉,109/05/13,108年 年度,1.73000000,"         31,726,124",0.0
8473 - 山林水,109/06/09,108年 年度,1.50000000,"        269,624,594",0.0
8473 - 山林水,109/06/09,108年 年度,1.50000000,"        269,624,594",0.0
8473 - 山林水,109/06/09,108年 年度,1.50000000,"        269,624,594",0.0
8473 - 山林水,109/06/09,108年 年度,1.50000000,"        269,624,594",0.0
8476 - 台境*,109/06/09,108年 年度,0.0,                  0,0.0
